Model,Fold,RMSE (RM),MAE (RM),R²
Decision Tree (Baseline),1,255840.96679699008,132458.25916870416,0.27488410196066304
Decision Tree (Baseline),2,285978.4121918218,150522.48899755502,0.36287823569702293
Decision Tree (Baseline),3,222073.60995751224,129536.52205882352,0.4555044539587568
Decision Tree (Baseline),4,668727.2294150306,245252.36764705883,0.28337527466444534
Random Forest,1,182307.58012824587,99346.74789124368,0.631806001855447
Random Forest,2,180217.91218855375,109141.15172228603,0.7469817496993986
Random Forest,3,140106.26898011976,90829.89867590445,0.7832717307433676
Random Forest,4,614412.5021528045,196633.14551076092,0.3950578267830842
XGBoost,1,176715.83361512786,96271.56756188875,0.6540461409762666
XGBoost,2,185570.63528744914,105899.48483343521,0.7317285547348598
XGBoost,3,136743.80404198618,87467.38118489583,0.793549593963107
XGBoost,4,617224.8420126686,196651.3103841146,0.38950716935590524
LightGBM,1,206164.67186847716,106425.30761724955,0.529135719645075
LightGBM,2,204317.14254101051,115879.24758017837,0.6747887563151553
LightGBM,3,136996.40647774754,88951.45844482492,0.7927861510679907
LightGBM,4,639345.3292461558,209973.92498969001,0.3449646057788782
