State,Area_Key,Tenure,Primary_Type,Median_PSF,Transactions,Median_Price
Penang,PENANG | TASEK GELUGOR,Freehold,Terrace House,304.0,593,331800.0
Johor,JOHOR | KULAI,Freehold,Cluster House,322.0,519,590900.0
Perak,PERAK | CHENDERIANG,Freehold,Terrace House,130.0,414,229954.0
Melaka,MELAKA | BEMBAN,Freehold,Terrace House,218.0,391,255600.0
Perak,PERAK | TAPAH,Leasehold,Terrace House,168.0,363,219300.0
Johor,JOHOR | TEBRAU,Freehold,Semi D,328.0,349,738000.0
Johor,JOHOR | PASIR GUDANG,Freehold,Terrace House,323.0,319,345000.0
Perak,PERAK | TELUK INTAN,Leasehold,Cluster House,126.0,309,236594.0
Melaka,MELAKA | JASIN,Freehold,Terrace House,188.0,301,180000.0
Selangor,SELANGOR | KAPAR,Freehold,Terrace House,496.0,292,793888.0
Melaka,MELAKA | BEMBAN,Leasehold,Terrace House,92.0,288,128730.0
Johor,JOHOR | ISKANDAR PUTERI (NUSAJAYA),Freehold,Terrace House,425.0,259,695000.0
Negeri Sembilan,NEGERI SEMBILAN | NILAI,Leasehold,Terrace House,194.0,210,359000.0
Johor,JOHOR | TEBRAU,Freehold,Semi D,450.0,203,750000.0
Johor,JOHOR | SKUDAI,Freehold,Terrace House,307.0,202,394000.0
Johor,JOHOR | JOHOR BAHRU,Freehold,Terrace House,326.0,195,450000.0
Johor,JOHOR | BATU PAHAT,Freehold,Cluster House,214.0,193,400000.0
Johor,JOHOR | KLUANG,Leasehold,Terrace House,125.0,188,170800.0
Johor,JOHOR | ULU TIRAM,Freehold,Terrace House,471.0,184,832000.0
Johor,JOHOR | SKUDAI,Leasehold,Terrace House,396.0,183,672000.0
Johor,JOHOR | KLUANG,Freehold,Cluster House,140.0,181,343400.0
Johor,JOHOR | PASIR GUDANG,Freehold,Cluster House,387.0,177,380000.0
Johor,JOHOR | PERMAS JAYA,Freehold,Terrace House,392.0,173,500000.0
Johor,JOHOR | TEBRAU,Freehold,Cluster House,331.0,172,504000.0
Johor,JOHOR | ISKANDAR PUTERI (NUSAJAYA),Freehold,Terrace House,500.0,171,1180000.0
Selangor,SELANGOR | SERENDAH,Freehold,Bungalow,232.0,166,290000.0
Johor,JOHOR | SKUDAI,Freehold,Service Residence,602.0,165,452900.0
Perak,PERAK | CHEMOR,Freehold,Semi D,235.0,164,472800.0
Johor,JOHOR | TEBRAU,Freehold,Cluster House,470.0,163,930000.0
Johor,JOHOR | PAGOH,Freehold,Terrace House,74.0,156,80000.0
Johor,JOHOR | KULAI,Mixed,Cluster House,297.0,155,553200.0
Negeri Sembilan,NEGERI SEMBILAN | LENGGENG,Leasehold,Terrace House,310.0,152,476240.0
Johor,JOHOR | PERLING,Freehold,Terrace House,286.0,152,527500.0
Johor,JOHOR | PASIR GUDANG,Freehold,Terrace House,384.0,149,551650.0
Johor,JOHOR | KULAI,Freehold,Terrace House,377.0,145,680000.0
Selangor,SELANGOR | SERENDAH,Leasehold,Terrace House,186.0,144,200000.0
Penang,PENANG | PENAGA,Freehold,Terrace House,277.0,141,307000.0
Selangor,SELANGOR | KLANG,Freehold,Terrace House,357.0,141,450000.0
Melaka,MELAKA | SUNGEI PETAI,Freehold,Semi D,194.0,140,298800.0
Selangor,SELANGOR | SHAH ALAM,Freehold,Semi D,308.0,140,495000.0
Johor,JOHOR | ULU TIRAM,Freehold,Terrace House,294.0,138,450000.0
Kedah,KEDAH | PADANG SERAI,Freehold,Semi D,143.0,136,199800.0
Johor,JOHOR | PASIR GUDANG,Freehold,Bungalow,258.0,135,397800.0
Perak,PERAK | SITIAWAN,Freehold,Cluster House,139.0,128,245000.0
Johor,JOHOR | KLUANG,Freehold,Terrace House,200.0,124,419444.0
Selangor,SELANGOR | IJOK,Freehold,Cluster House,432.0,123,913800.0
Melaka,MELAKA | BUKIT KATIL,Leasehold,Terrace House,175.0,123,270000.0
Selangor,SELANGOR | KLANG,Freehold,Terrace House,252.0,122,350000.0
Johor,JOHOR | SKUDAI,Freehold,Terrace House,322.0,122,530000.0
